pm25,pm10,co,no2,so2,latitude,longitude,date,AQI_reference,AQI,dominant_pollutant
101.67083333333333,147.725,1.593625,50.94166666666666,56.59166666666667,28.6139,77.209,2024-01-01,177.875,237.4280172413793,pm25
103.95,150.65416666666667,1.6027500000000001,49.68333333333334,55.5875,28.6139,77.209,2024-01-02,173.58333333333334,245.2086206896552,pm25
118.52083333333333,172.08333333333334,1.7826666666666666,48.62916666666666,51.65416666666667,28.6139,77.209,2024-01-03,180.95833333333334,294.95043103448273,pm25
118.34166666666665,171.9375,1.7761666666666667,41.34583333333333,41.487500000000004,28.6139,77.209,2024-01-04,182.625,294.3387931034482,pm25
114.575,167.49583333333334,1.5486250000000001,40.579166666666666,37.958333333333336,28.6139,77.209,2024-01-05,183.625,281.4801724137931,pm25
114.00416666666666,166.40416666666667,1.6467083333333334,36.666666666666664,39.4,28.6139,77.209,2024-01-06,178.625,279.5314655172414,pm25
138.01250000000002,200.4625,2.104833333333333,52.958333333333336,56.24166666666667,28.6139,77.209,2024-01-07,184.75,314.0561046511628,pm25
150.83333333333334,220.35,2.175291666666667,59.74166666666667,67.34583333333333,28.6139,77.209,2024-01-08,198.625,323.8953488372093,pm25
102.91666666666667,150.32916666666668,1.327875,32.516666666666666,29.920833333333334,28.6139,77.209,2024-01-09,194.04166666666666,241.68103448275863,pm25
81.01666666666667,117.22916666666667,1.018875,22.616666666666664,22.9375,28.6139,77.209,2024-01-10,164.08333333333334,169.33275862068965,pm25
97.32083333333333,142.42499999999998,1.2128750000000001,26.75,29.333333333333332,28.6139,77.209,2024-01-11,167.54166666666666,222.57801724137929,pm25
94.42083333333333,136.80833333333334,1.285625,30.47083333333333,32.93333333333333,28.6139,77.209,2024-01-12,170.95833333333334,212.6780172413793,pm25
121.14583333333333,176.14166666666665,1.9363333333333335,60.050000000000004,62.112500000000004,28.6139,77.209,2024-01-13,176.83333333333334,301.1119186046512,pm25
102.74583333333334,149.9,1.6579166666666667,49.36666666666667,46.18333333333334,28.6139,77.209,2024-01-14,184.625,241.09784482758621,pm25
96.22500000000001,140.6,1.2084583333333334,36.875,37.237500000000004,28.6139,77.209,2024-01-15,169.29166666666666,218.83706896551726,pm25
145.46666666666667,211.85416666666666,2.07225,63.4125,68.49166666666666,28.6139,77.209,2024-01-16,180.04166666666666,319.7767441860465,pm25
148.69583333333335,217.38333333333333,1.9166666666666667,67.69583333333334,77.32916666666667,28.6139,77.209,2024-01-17,208.95833333333334,322.2549418604651,pm25
156.9625,227.08333333333334,2.388125,91.1125,100.07083333333333,28.6139,77.209,2024-01-18,199.20833333333334,328.5991279069768,pm25
174.1208333333333,251.96666666666667,2.628,87.84166666666665,101.03750000000001,28.6139,77.209,2024-01-19,219.58333333333334,341.7671511627907,pm25
161.93333333333334,236.63750000000002,2.1347916666666666,75.6875,86.70416666666667,28.6139,77.209,2024-01-20,218.54166666666666,332.4139534883721,pm25
118.125,174.25,1.4327083333333333,37.9625,39.704166666666666,28.6139,77.209,2024-01-21,199.08333333333334,293.5991379310345,pm25
127.90416666666665,186.975,1.617,39.391666666666666,40.949999999999996,28.6139,77.209,2024-01-22,178.16666666666666,306.2985465116279,pm25
157.34166666666667,230.92083333333335,2.10275,58.6625,58.76666666666667,28.6139,77.209,2024-01-23,200.04166666666666,328.8901162790698,pm25
115.44583333333333,169.39166666666668,1.727,45.02916666666667,38.59583333333333,28.6139,77.209,2024-01-24,194.45833333333334,284.45301724137926,pm25
124.19166666666666,182.54583333333335,1.8157500000000002,46.30833333333334,42.81666666666666,28.6139,77.209,2024-01-25,181.75,303.44941860465116,pm25
147.36249999999998,217.42916666666667,2.2699583333333333,73.74166666666666,76.89583333333333,28.6139,77.209,2024-01-26,194.66666666666666,321.23168604651164,pm25
73.5,109.90833333333335,1.336625,37.15,33.5,28.6139,77.209,2024-01-27,182.41666666666666,143.67241379310343,pm25
93.5,140.53333333333333,1.6035000000000001,52.65833333333333,58.7125,28.6139,77.209,2024-01-28,162.79166666666666,209.5344827586207,pm25
108.9875,161.19583333333333,1.4924166666666665,48.645833333333336,57.137499999999996,28.6139,77.209,2024-01-29,170.04166666666666,262.4056034482759,pm25
150.32083333333333,225.4958333333333,2.001333333333333,66.40416666666667,61.5375,28.6139,77.209,2024-01-30,189.41666666666666,323.5020348837209,pm25
155.07500000000002,239.15416666666667,1.7898333333333332,59.54583333333333,66.79166666666667,28.6139,77.209,2024-01-31,218.41666666666666,327.15058139534887,pm25
73.55416666666666,116.29166666666667,0.6934583333333334,22.079166666666666,26.5625,28.6139,77.209,2024-02-01,179.16666666666666,143.85732758620688,pm25
61.37916666666666,93.57916666666667,0.785125,26.045833333333334,26.912499999999998,28.6139,77.209,2024-02-02,155.41666666666666,102.29439655172412,pm25
46.0,69.35833333333333,0.96525,32.36666666666667,33.479166666666664,28.6139,77.209,2024-02-03,128.58333333333334,76.34482758620689,pm25
70.34583333333333,133.10833333333332,1.0153333333333334,42.18333333333333,42.30833333333333,28.6139,77.209,2024-02-04,154.375,132.90474137931034,pm25
36.22083333333333,62.7875,0.5424583333333334,22.7375,22.0625,28.6139,77.209,2024-02-05,131.66666666666666,62.7875,pm10
39.083333333333336,60.99166666666667,0.6799583333333333,23.825,19.441666666666666,28.6139,77.209,2024-02-06,103.70833333333333,64.6580459770115,pm25
41.229166666666664,67.03750000000001,0.5933333333333334,18.008333333333333,17.720833333333335,28.6139,77.209,2024-02-07,113.91666666666667,68.28376436781609,pm25
37.725,61.645833333333336,0.54725,14.958333333333334,15.870833333333332,28.6139,77.209,2024-02-08,111.625,62.36293103448276,pm25
53.50833333333333,79.96249999999999,0.9844583333333333,31.991666666666664,31.241666666666664,28.6139,77.209,2024-02-09,104.91666666666667,89.03132183908046,pm25
93.825,136.63333333333333,1.4559166666666667,50.48333333333333,46.42083333333333,28.6139,77.209,2024-02-10,162.875,210.64396551724138,pm25
77.60833333333333,112.50833333333333,1.0935416666666666,36.75833333333333,32.9125,28.6139,77.209,2024-02-11,165.625,157.69741379310346,pm25
90.40416666666665,129.64583333333334,1.3767916666666666,44.9125,42.979166666666664,28.6139,77.209,2024-02-12,162.25,198.96594827586202,pm25
108.65833333333335,155.92499999999998,1.332375,42.479166666666664,43.137499999999996,28.6139,77.209,2024-02-13,174.16666666666666,261.2818965517242,pm25
92.85416666666667,135.12916666666666,1.1380000000000001,31.425,34.80833333333333,28.6139,77.209,2024-02-14,177.0,207.32974137931035,pm25
73.0625,107.60416666666667,1.1209166666666668,30.8875,30.291666666666668,28.6139,77.209,2024-02-15,162.04166666666666,142.17887931034483,pm25
68.19166666666666,100.64166666666667,1.044,34.52916666666667,27.429166666666664,28.6139,77.209,2024-02-16,159.58333333333334,125.5508620689655,pm25
58.824999999999996,88.95,0.88925,29.775000000000002,25.429166666666664,28.6139,77.209,2024-02-17,153.33333333333334,98.0146551724138,pm25
77.37083333333334,121.8,1.1373333333333333,43.0375,40.90833333333333,28.6139,77.209,2024-02-18,159.25,156.8866379310345,pm25
65.20416666666667,113.07083333333333,0.5886666666666667,14.704166666666666,26.5,28.6139,77.209,2024-02-19,158.54166666666666,115.35215517241379,pm25
59.53333333333333,109.06666666666666,0.7182499999999999,25.554166666666664,27.8625,28.6139,77.209,2024-02-20,151.79166666666666,106.35973154362416,pm10
53.770833333333336,106.46666666666665,0.6064166666666667,26.358333333333334,26.920833333333334,28.6139,77.209,2024-02-21,152.66666666666666,104.63221476510066,pm10
39.512499999999996,73.89999999999999,0.5471666666666667,22.316666666666666,19.6125,28.6139,77.209,2024-02-22,126.29166666666667,73.89999999999999,pm10
36.670833333333334,63.19583333333333,0.6398333333333334,25.825,19.316666666666666,28.6139,77.209,2024-02-23,100.875,63.19583333333333,pm10
50.875,87.67083333333333,0.9662916666666667,39.24583333333333,32.204166666666666,28.6139,77.209,2024-02-24,122.91666666666667,87.67083333333333,pm10
39.516666666666666,66.60000000000001,0.6275416666666667,26.787499999999998,22.233333333333334,28.6139,77.209,2024-02-25,126.16666666666667,66.60000000000001,pm10
48.03333333333333,76.825,0.8178333333333333,33.49166666666667,32.77916666666667,28.6139,77.209,2024-02-26,112.125,79.78045977011494,pm25
44.78333333333333,84.10416666666667,0.635375,27.320833333333336,23.741666666666664,28.6139,77.209,2024-02-27,141.75,84.10416666666667,pm10
38.82083333333333,97.27499999999999,0.5212083333333334,19.275000000000002,15.195833333333333,28.6139,77.209,2024-02-28,107.95833333333333,97.27499999999999,pm10
45.30833333333334,91.11666666666667,0.7407916666666666,27.675,22.233333333333334,28.6139,77.209,2024-02-29,115.33333333333333,91.11666666666667,pm10
61.38333333333333,115.14166666666667,0.942875,38.84166666666667,38.46666666666667,28.6139,77.209,2024-03-01,145.25,110.39614093959732,pm10
38.55416666666667,84.24166666666666,0.42745833333333333,15.737499999999999,18.6375,28.6139,77.209,2024-03-02,133.70833333333334,84.24166666666666,pm10
35.824999999999996,76.21249999999999,0.4475833333333333,21.829166666666666,20.945833333333333,28.6139,77.209,2024-03-03,99.625,76.21249999999999,pm10
32.949999999999996,75.03333333333333,0.49616666666666664,21.991666666666664,17.504166666666666,28.6139,77.209,2024-03-04,105.45833333333333,75.03333333333333,pm10
39.0625,94.52083333333333,0.48741666666666666,18.537499999999998,15.995833333333332,28.6139,77.209,2024-03-05,95.91666666666667,94.52083333333333,pm10
52.025,110.69166666666666,0.7628750000000001,28.59166666666667,26.40416666666667,28.6139,77.209,2024-03-06,121.04166666666667,107.43942953020134,pm10
56.9,114.64583333333333,0.948,37.92916666666667,30.041666666666668,28.6139,77.209,2024-03-07,152.29166666666666,110.06669463087248,pm10
38.12083333333333,84.85416666666667,0.5335,22.366666666666664,18.783333333333335,28.6139,77.209,2024-03-08,122.08333333333333,84.85416666666667,pm10
40.18333333333333,127.02083333333333,0.57475,22.670833333333334,18.6375,28.6139,77.209,2024-03-09,106.125,118.28901006711409,pm10
56.0625,107.74166666666667,0.926625,41.35,29.125,28.6139,77.209,2024-03-10,122.95833333333333,105.47936241610739,pm10
75.31666666666666,126.24583333333334,1.1007916666666666,49.0625,41.262499999999996,28.6139,77.209,2024-03-11,164.66666666666666,149.87413793103445,pm25
48.666666666666664,100.22083333333335,0.6615416666666667,27.425,22.704166666666666,28.6139,77.209,2024-03-12,148.83333333333334,100.48229865771813,pm10
46.22083333333333,119.675,0.5861666666666666,23.395833333333332,21.52916666666667,28.6139,77.209,2024-03-13,131.33333333333334,113.40822147651006,pm10
40.108333333333334,89.57916666666667,0.5334166666666667,23.583333333333332,20.741666666666667,28.6139,77.209,2024-03-14,112.66666666666667,89.57916666666667,pm10
36.84583333333333,122.79583333333333,0.49241666666666667,21.808333333333334,15.079166666666666,28.6139,77.209,2024-03-15,111.20833333333333,115.48179530201342,pm10
44.59583333333333,96.34583333333335,0.6910416666666667,32.65,23.46666666666667,28.6139,77.209,2024-03-16,110.70833333333333,96.34583333333335,pm10
50.35,105.81666666666666,0.9268333333333333,39.512499999999996,25.6875,28.6139,77.209,2024-03-17,134.79166666666666,104.20033557046979,pm10
48.82916666666667,105.25833333333333,0.8435,36.12083333333333,22.65833333333333,28.6139,77.209,2024-03-18,133.25,103.82936241610737,pm10
50.854166666666664,110.45,0.8678333333333333,39.137499999999996,24.52916666666667,28.6139,77.209,2024-03-19,138.375,107.27885906040268,pm10
59.104166666666664,93.22916666666667,1.013625,43.887499999999996,29.1125,28.6139,77.209,2024-03-20,149.04166666666666,98.48635057471265,pm25
64.78333333333333,171.46666666666667,0.660125,27.09166666666667,24.825,28.6139,77.209,2024-03-21,151.91666666666666,147.82013422818792,pm10
64.6375,128.65416666666667,0.816875,35.78333333333333,31.462500000000002,28.6139,77.209,2024-03-22,159.58333333333334,119.37424496644296,pm10
51.65833333333333,149.72916666666666,0.6083333333333333,27.116666666666664,19.104166666666668,28.6139,77.209,2024-03-23,153.83333333333334,133.37709731543623,pm10
53.23333333333333,140.85833333333332,0.7009583333333333,31.604166666666668,22.3625,28.6139,77.209,2024-03-24,142.54166666666666,127.48305369127516,pm10
42.68333333333334,121.17916666666666,0.5730000000000001,24.7,18.533333333333335,28.6139,77.209,2024-03-25,130.91666666666666,114.40763422818792,pm10
43.666666666666664,111.27083333333333,0.522875,24.058333333333334,18.479166666666668,28.6139,77.209,2024-03-26,117.125,107.82424496644295,pm10
53.84583333333333,142.89166666666668,0.710125,36.25833333333333,29.02916666666667,28.6139,77.209,2024-03-27,136.54166666666666,128.83406040268457,pm10
49.5,124.8625,0.5322916666666667,27.020833333333332,24.037499999999998,28.6139,77.209,2024-03-28,141.41666666666666,116.85494966442953,pm10
57.14166666666667,139.01666666666668,0.632875,33.44583333333333,28.145833333333332,28.6139,77.209,2024-03-29,147.79166666666666,126.25939597315437,pm10
48.21666666666667,132.9125,0.5115833333333334,22.925,20.833333333333332,28.6139,77.209,2024-03-30,148.5,122.20360738255033,pm10
40.94166666666667,121.39999999999999,0.48208333333333336,23.84166666666667,16.883333333333333,28.6139,77.209,2024-03-31,121.54166666666667,114.55436241610738,pm10
